Gebietsschlüssel;Gebietsbezeichnung;Wahlberechtigte;Wahlberechtigte ohne Sperrvermerk;Wahlberechtigte mit Sperrvermerk;Wahlberechtigte nach §19;Wähler;Wähler mit Wahlschein;Wahlbeteiligung;Berechnungsmethode Wahlbeteiligung;ungültige Erststimmen;gültige Erststimmen;ungültige Erststimmen in %;gültige Erstsstimmen in %;SPD Erststimmen;CDU Erststimmen;GRÜNE Erststimmen;FDP Erststimmen;Linke Erststimmen;FREIE WÄHLER Erststimmen;PIRATEN Erststimmen;NPD Erststimmen;REP Erststimmen;ödp Erststimmen;ALFA Erststimmen;AfD Erststimmen;III. Weg Erststimmen;DIE EINHEIT Erststimmen;FRIEDENSKÄMPFER Erststimmen;Pestemer Erststimmen;Sonstige Erststimmen;;;;;;;;;SPD Erststimmen in %;CDU Erststimmen in %;GRÜNE Erststimmen in %;FDP Erststimmen in %;Linke Erststimmen in %;FREIE WÄHLER Erststimmen in %;PIRATEN Erststimmen in %;NPD Erststimmen in %;REP Erststimmen in %;ödp Erststimmen in %;ALFA Erststimmen in %;AfD Erststimmen in %;III. Weg Erststimmen in %;DIE EINHEIT Erststimmen in %;FRIEDENSKÄMPFER Erststimmen in %;Pestemer Erststimmen in %;Sonstige Erststimmen in %;;;;;;;;;ungültige Zweitstimmen;gültige Zweitstimmen;ungültige Zweitstimmen in %;gültige Zweitstimmen in %;SPD Zweitstimmen;CDU Zweitstimmen;GRÜNE Zweitstimmen;FDP Zweitstimmen;Linke Zweitstimmen;FREIE WÄHLER Zweitstimmen;PIRATEN Zweitstimmen;NPD Zweitstimmen;REP Zweitstimmen;ödp Zweitstimmen;ALFA Zweitstimmen;AfD Zweitstimmen;III. Weg Zweitstimmen;DIE EINHEIT Zweitstimmen;FRIEDENSKÄMPFER Zweitstimmen;Pestemer Zweitstimmen;Sonstige Zweitstimmen;;;;;;;;;SPD Zweitstimmen in %;CDU Zweitstimmen in %;GRÜNE Zweitstimmen in %;FDP Zweitstimmen in %;Linke Zweitstimmen in %;FREIE WÄHLER Zweitstimmen in %;PIRATEN Zweitstimmen in %;NPD Zweitstimmen in %;REP Zweitstimmen in %;ödp Zweitstimmen in %;ALFA Zweitstimmen in %;AfD Zweitstimmen in %;III. Weg Zweitstimmen in %;DIE EINHEIT Zweitstimmen in %;FRIEDENSKÄMPFER Zweitstimmen in %;Pestemer Zweitstimmen in %;Sonstige Zweitstimmen in %;;;;;;;;;Gewählter Direktkandidat;Partei des Direktkandidaten;Anzahl Stimmbezirke;Anzahl ausgezählter Stimmbezirke;Zeitpunkt der letzten Änderung
1011430624400;Homberg;138;125;13;0;84;13;60,9;2;9;75;10,7;89,3;32;26;4;4;9;;;;;;;;;;;;;;;;;;;;;42,7;34,7;5,3;5,3;12;;;;;;;;;;;;;;;;;;;;;1;83;1,2;98,8;29;17;5;1;4;0;0;2;0;0;0;25;0;0;;;;;;;;;;;;34,9;20,5;6;1,2;4,8;0;0;2,4;0;0;0;30,1;0;0;;;;;;;;;;;;;;1;1;13.03.2016 18:39:22
1011430624500;Hüblingen;250;207;43;0;168;36;67,2;2;5;163;3;97;68;47;11;18;19;;;;;;;;;;;;;;;;;;;;;41,7;28,8;6,7;11;11,7;;;;;;;;;;;;;;;;;;;;;1;167;0,6;99,4;64;42;5;8;11;3;2;0;0;1;1;30;0;0;;;;;;;;;;;;38,3;25,1;3;4,8;6,6;1,8;1,2;0;0;0,6;0,6;18;0;0;;;;;;;;;;;;;;1;1;13.03.2016 18:45:37
1011430624600;Irmtraut;599;464;135;0;431;131;72;2;36;395;8,4;91,6;98;220;19;37;21;;;;;;;;;;;;;;;;;;;;;24,8;55,7;4,8;9,4;5,3;;;;;;;;;;;;;;;;;;;;;3;428;0,7;99,3;96;203;14;18;12;10;0;3;1;0;2;68;0;1;;;;;;;;;;;;22,4;47,4;3,3;4,2;2,8;2,3;0;0,7;0,2;0;0,5;15,9;0;0,2;;;;;;;;;;;;;;1;1;14.03.2016 12:04:52
1011430625600;Liebenscheid;634;594;40;0;389;40;61,4;2;23;366;5,9;94,1;148;156;14;24;24;;;;;;;;;;;;;;;;;;;;;40,4;42,6;3,8;6,6;6,6;;;;;;;;;;;;;;;;;;;;;10;379;2,6;97,4;122;148;10;12;7;7;0;2;0;1;4;61;5;0;;;;;;;;;;;;32,2;39,1;2,6;3,2;1,8;1,8;0;0,5;0;0,3;1,1;16,1;1,3;0;;;;;;;;;;;;;;3;3;13.03.2016 19:03:14
1011430627100;Neunkirchen;439;352;87;0;334;78;76,1;2;19;315;5,7;94,3;115;125;21;42;12;;;;;;;;;;;;;;;;;;;;;36,5;39,7;6,7;13,3;3,8;;;;;;;;;;;;;;;;;;;;;7;327;2,1;97,9;113;114;13;22;6;5;0;2;2;0;1;49;0;0;;;;;;;;;;;;34,6;34,9;4;6,7;1,8;1,5;0;0,6;0,6;0;0,3;15;0;0;;;;;;;;;;;;;;1;1;13.03.2016 19:07:13
1011430627200;Neustadt (Westerwald);486;405;81;0;349;74;71,8;2;18;331;5,2;94,8;103;160;16;34;18;;;;;;;;;;;;;;;;;;;;;31,1;48,3;4,8;10,3;5,4;;;;;;;;;;;;;;;;;;;;;3;346;0,9;99,1;90;150;11;14;6;8;4;4;2;0;2;53;1;1;;;;;;;;;;;;26;43,4;3,2;4;1,7;2,3;1,2;1,2;0,6;0;0,6;15,3;0,3;0,3;;;;;;;;;;;;;;1;1;13.03.2016 19:53:16
1011430627400;Niederroßbach;572;518;54;0;362;53;63,3;2;23;339;6,4;93,6;137;123;25;35;19;;;;;;;;;;;;;;;;;;;;;40,4;36,3;7,4;10,3;5,6;;;;;;;;;;;;;;;;;;;;;3;359;0,8;99,2;130;100;18;10;7;16;2;3;2;0;1;69;1;0;;;;;;;;;;;;36,2;27,9;5;2,8;1,9;4,5;0,6;0,8;0,6;0;0,3;19,2;0,3;0;;;;;;;;;;;;;;1;1;13.03.2016 18:54:57
1011430627800;Nister-Möhrendorf;239;206;33;0;174;33;72,8;2;23;151;13,2;86,8;84;44;8;8;7;;;;;;;;;;;;;;;;;;;;;55,6;29,1;5,3;5,3;4,6;;;;;;;;;;;;;;;;;;;;;7;167;4;96;72;43;11;3;3;2;1;0;1;1;1;28;1;0;;;;;;;;;;;;43,1;25,7;6,6;1,8;1,8;1,2;0,6;0;0,6;0,6;0,6;16,8;0,6;0;;;;;;;;;;;;;;1;1;13.03.2016 18:50:52
1011430628200;Oberrod;521;455;66;0;365;65;70,1;2;22;343;6;94;130;159;15;26;13;;;;;;;;;;;;;;;;;;;;;37,9;46,4;4,4;7,6;3,8;;;;;;;;;;;;;;;;;;;;;5;360;1,4;98,6;118;146;9;15;9;4;1;3;0;0;0;54;1;0;;;;;;;;;;;;32,8;40,6;2,5;4,2;2,5;1,1;0,3;0,8;0;0;0;15;0,3;0;;;;;;;;;;;;;;1;1;13.03.2016 19:08:27
1011430628300;Oberroßbach;266;245;21;0;184;20;69,2;2;14;170;7,6;92,4;93;43;5;20;9;;;;;;;;;;;;;;;;;;;;;54,7;25,3;2,9;11,8;5,3;;;;;;;;;;;;;;;;;;;;;2;182;1,1;98,9;81;39;6;12;4;4;1;4;0;2;1;28;0;0;;;;;;;;;;;;44,5;21,4;3,3;6,6;2,2;2,2;0,5;2,2;0;1,1;0,5;15,4;0;0;;;;;;;;;;;;;;1;1;13.03.2016 19:09:53
1011430628500;Rehe;713;635;78;0;476;76;66,8;2;30;446;6,3;93,7;134;237;22;40;13;;;;;;;;;;;;;;;;;;;;;30;53,1;4,9;9;2,9;;;;;;;;;;;;;;;;;;;;;5;471;1,1;98,9;116;213;14;21;8;17;10;3;2;1;0;66;0;0;;;;;;;;;;;;24,6;45,2;3;4,5;1,7;3,6;2,1;0,6;0,4;0,2;0;14;0;0;;;;;;;;;;;;;;1;1;13.03.2016 19:31:54
1011430628600;Rennerod;3005;2330;675;0;1908;655;63,5;2;111;1797;5,8;94,2;574;808;109;182;124;;;;;;;;;;;;;;;;;;;;;31,9;45;6,1;10,1;6,9;;;;;;;;;;;;;;;;;;;;;16;1892;0,8;99,2;541;720;70;107;49;56;14;10;3;4;11;293;7;7;;;;;;;;;;;;28,6;38,1;3,7;5,7;2,6;3;0,7;0,5;0,2;0,2;0,6;15,5;0,4;0,4;;;;;;;;;;;;;;4;4;13.03.2016 20:14:57
1011430629100;Salzburg;197;178;19;0;124;19;62,9;2;2;122;1,6;98,4;39;63;7;6;7;;;;;;;;;;;;;;;;;;;;;32;51,6;5,7;4,9;5,7;;;;;;;;;;;;;;;;;;;;;1;123;0,8;99,2;37;51;4;2;0;4;3;0;0;1;4;16;0;1;;;;;;;;;;;;30,1;41,5;3,3;1,6;0;3,3;2,4;0;0;0,8;3,3;13;0;0,8;;;;;;;;;;;;;;1;1;13.03.2016 18:46:50
1011430629200;Seck;923;696;227;0;649;220;70,3;2;32;617;4,9;95,1;192;320;24;58;23;;;;;;;;;;;;;;;;;;;;;31,1;51,9;3,9;9,4;3,7;;;;;;;;;;;;;;;;;;;;;6;643;0,9;99,1;182;280;12;39;8;14;4;1;2;0;5;95;1;0;;;;;;;;;;;;28,3;43,5;1,9;6,1;1,2;2,2;0,6;0,2;0,3;0;0,8;14,8;0,2;0;;;;;;;;;;;;;;1;1;13.03.2016 19:28:33
1011430629500;Stein-Neukirch;316;270;46;0;214;43;67,7;2;17;197;7,9;92,1;81;81;10;16;9;;;;;;;;;;;;;;;;;;;;;41,1;41,1;5,1;8,1;4,6;;;;;;;;;;;;;;;;;;;;;2;212;0,9;99,1;80;70;3;8;3;1;2;1;1;3;2;38;0;0;;;;;;;;;;;;37,7;33;1,4;3,8;1,4;0,5;0,9;0,5;0,5;1,4;0,9;17,9;0;0;;;;;;;;;;;;;;1;1;13.03.2016 18:53:32
1011430630200;Waigandshain;156;134;22;0;117;22;75;2;7;110;6;94;28;54;14;10;4;;;;;;;;;;;;;;;;;;;;;25,5;49,1;12,7;9,1;3,6;;;;;;;;;;;;;;;;;;;;;0;117;0;100;38;46;7;3;1;7;0;0;0;0;1;14;0;0;;;;;;;;;;;;32,5;39,3;6;2,6;0,9;6;0;0;0;0;0,9;12;0;0;;;;;;;;;;;;;;1;1;13.03.2016 19:04:21
1011430630300;Waldmühlen;245;217;28;0;153;28;62,4;2;9;144;5,9;94,1;39;74;5;17;9;;;;;;;;;;;;;;;;;;;;;27,1;51,4;3,5;11,8;6,3;;;;;;;;;;;;;;;;;;;;;3;150;2;98;25;61;6;10;6;3;1;2;0;2;0;34;0;0;;;;;;;;;;;;16,7;40,7;4;6,7;4;2;0,7;1,3;0;1,3;0;22,7;0;0;;;;;;;;;;;;;;1;1;13.03.2016 18:43:21
1011430630900;Westernohe;716;491;225;0;535;224;74,7;2;25;510;4,7;95,3;142;295;22;33;18;;;;;;;;;;;;;;;;;;;;;27,8;57,8;4,3;6,5;3,5;;;;;;;;;;;;;;;;;;;;;3;532;0,6;99,4;155;268;9;22;2;7;1;3;2;2;3;55;3;0;;;;;;;;;;;;29,1;50,4;1,7;4,1;0,4;1,3;0,2;0,6;0,4;0,4;0,6;10,3;0,6;0;;;;;;;;;;;;;;1;1;13.03.2016 19:05:52
1011430631100;Willingen;236;203;33;0;170;30;72;2;12;158;7,1;92,9;55;76;8;16;3;;;;;;;;;;;;;;;;;;;;;34,8;48,1;5,1;10,1;1,9;;;;;;;;;;;;;;;;;;;;;3;167;1,8;98,2;56;52;6;12;1;6;0;0;0;2;0;32;0;0;;;;;;;;;;;;33,5;31,1;3,6;7,2;0,6;3,6;0;0;0;1,2;0;19,2;0;0;;;;;;;;;;;;;;1;1;13.03.2016 18:31:13
1011430631500;Zehnhausen bei Rennerod;303;263;40;0;210;39;69,3;2;6;204;2,9;97,1;113;40;9;27;15;;;;;;;;;;;;;;;;;;;;;55,4;19,6;4,4;13,2;7,4;;;;;;;;;;;;;;;;;;;;;3;207;1,4;98,6;94;31;7;18;5;4;3;3;3;0;4;35;0;0;;;;;;;;;;;;45,4;15;3,4;8,7;2,4;1,9;1,4;1,4;1,4;0;1,9;16,9;0;0;;;;;;;;;;;;;;1;1;13.03.2016 18:41:21
1020000000000;Altenkirchen (Westerwald), Wahlkreis;56718;45191;11525;2;37652;10820;66,4;2;1188;36464;3,2;96,8;11570;15223;2163;2717;1476;2210;1105;;;;;;;;;;;;;;;;;;;31,7;41,7;5,9;7,5;4;6,1;3;;;;;;;;;;;;;;;;;;;427;37225;1,1;98,9;12427;13155;1701;2157;1014;763;332;181;71;100;192;5053;20;59;;;;;;;;;;;;33,4;35,3;4,6;5,8;2,7;2;0,9;0,5;0,2;0,3;0,5;13,6;0,1;0,2;;;;;;;;;;;;Dr. Enders, Peter;CDU;118;118;18.03.2016 12:42:20
1021320000000;Altenkirchen (Ww.), Teilkreis;56718;45191;11525;2;37652;10820;66,4;2;1188;36464;3,2;96,8;11570;15223;2163;2717;1476;2210;1105;;;;;;;;;;;;;;;;;;;31,7;41,7;5,9;7,5;4;6,1;3;;;;;;;;;;;;;;;;;;;427;37225;1,1;98,9;12427;13155;1701;2157;1014;763;332;181;71;100;192;5053;20;59;;;;;;;;;;;;33,4;35,3;4,6;5,8;2,7;2;0,9;0,5;0,2;0,3;0,5;13,6;0,1;0,2;;;;;;;;;;;;;;118;118;15.03.2016 10:41:09
1021320100000;Altenkirchen (Westerwald), VG;17415;14483;2932;0;11319;2799;65;2;360;10959;3,2;96,8;4126;3543;799;1106;484;604;297;;;;;;;;;;;;;;;;;;;37,6;32,3;7,3;10,1;4,4;5,5;2,7;;;;;;;;;;;;;;;;;;;138;11181;1,2;98,8;4431;3041;606;763;365;199;105;49;20;36;66;1465;9;26;;;;;;;;;;;;39,6;27,2;5,4;6,8;3,3;1,8;0,9;0,4;0,2;0,3;0,6;13,1;0,1;0,2;;;;;;;;;;;;;;47;47;15.03.2016 10:41:09
1021320100100;Almersbach;309;263;46;0;208;45;67,3;2;7;201;3,4;96,6;89;51;11;29;11;8;2;;;;;;;;;;;;;;;;;;;44,3;25,4;5,5;14,4;5,5;4;1;;;;;;;;;;;;;;;;;;;1;207;0,5;99,5;88;40;10;21;7;3;0;1;0;0;0;37;0;0;;;;;;;;;;;;42,5;19,3;4,8;10,1;3,4;1,4;0;0,5;0;0;0;17,9;0;0;;;;;;;;;;;;;;1;1;13.03.2016 19:40:57
1021320100400;Bachenberg;94;80;14;0;64;13;68,1;2;1;63;1,6;98,4;31;10;3;12;3;3;1;;;;;;;;;;;;;;;;;;;49,2;15,9;4,8;19;4,8;4,8;1,6;;;;;;;;;;;;;;;;;;;0;64;0;100;36;7;3;5;3;3;0;1;0;0;1;5;0;0;;;;;;;;;;;;56,3;10,9;4,7;7,8;4,7;4,7;0;1,6;0;0;1,6;7,8;0;0;;;;;;;;;;;;;;1;1;13.03.2016 18:27:18
1021320100900;Birnbach;465;370;95;0;341;91;73,3;2;7;334;2,1;97,9;122;126;29;33;7;10;7;;;;;;;;;;;;;;;;;;;36,5;37,7;8,7;9,9;2,1;3;2,1;;;;;;;;;;;;;;;;;;;3;338;0,9;99,1;138;102;22;28;9;3;4;0;0;3;0;29;0;0;;;;;;;;;;;;40,8;30,2;6,5;8,3;2,7;0,9;1,2;0;0;0,9;0;8,6;0;0;;;;;;;;;;;;;;1;1;14.03.2016 14:22:57
1021320101700;Busenhausen;271;236;35;0;172;34;63,5;2;7;165;4,1;95,9;64;48;11;24;4;10;4;;;;;;;;;;;;;;;;;;;38,8;29,1;6,7;14,5;2,4;6,1;2,4;;;;;;;;;;;;;;;;;;;2;170;1,2;98,8;66;38;9;22;4;4;1;1;0;0;0;25;0;0;;;;;;;;;;;;38,8;22,4;5,3;12,9;2,4;2,4;0,6;0,6;0;0;0;14,7;0;0;;;;;;;;;;;;;;1;1;13.03.2016 19:22:39
1021320102200;Eichelhardt;383;315;68;0;276;66;72,1;2;4;272;1,4;98,6;145;63;28;14;8;9;5;;;;;;;;;;;;;;;;;;;53,3;23,2;10,3;5,1;2,9;3,3;1,8;;;;;;;;;;;;;;;;;;;2;274;0,7;99,3;156;53;12;18;6;3;1;1;0;3;1;20;0;0;;;;;;;;;;;;56,9;19,3;4,4;6,6;2,2;1,1;0,4;0,4;0;1,1;0,4;7,3;0;0;;;;;;;;;;;;;;1;1;13.03.2016 18:37:32
1021320102700;Ersfeld;63;55;8;0;46;6;73;2;3;43;6,5;93,5;10;18;9;3;1;2;0;;;;;;;;;;;;;;;;;;;23,3;41,9;20,9;7;2,3;4,7;0;;;;;;;;;;;;;;;;;;;1;45;2,2;97,8;15;12;7;3;1;0;0;0;0;0;2;5;0;0;;;;;;;;;;;;33,3;26,7;15,6;6,7;2,2;0;0;0;0;0;4,4;11,1;0;0;;;;;;;;;;;;;;1;1;13.03.2016 18:52:20
1021320103100;Fiersbach;212;180;32;0;147;29;69,3;2;4;143;2,7;97,3;52;54;9;12;2;8;6;;;;;;;;;;;;;;;;;;;36,4;37,8;6,3;8,4;1,4;5,6;4,2;;;;;;;;;;;;;;;;;;;1;146;0,7;99,3;58;44;9;10;1;2;0;0;0;0;0;22;0;0;;;;;;;;;;;;39,7;30,1;6,2;6,8;0,7;1,4;0;0;0;0;0;15,1;0;0;;;;;;;;;;;;;;1;1;13.03.2016 18:46:29
1021320103300;Fluterschen;534;441;93;0;354;90;66,3;2;14;340;4;96;130;115;24;38;10;14;9;;;;;;;;;;;;;;;;;;;38,2;33,8;7,1;11,2;2,9;4,1;2,6;;;;;;;;;;;;;;;;;;;7;347;2;98;152;109;12;22;7;4;2;1;0;0;2;34;0;2;;;;;;;;;;;;43,8;31,4;3,5;6,3;2;1,2;0,6;0,3;0;0;0,6;9,8;0;0,6;;;;;;;;;;;;;;1;1;14.03.2016 15:53:26
1021320103500;Forstmehren;125;95;30;0;89;30;71,2;2;0;89;0;100;25;34;9;10;4;5;2;;;;;;;;;;;;;;;;;;;28,1;38,2;10,1;11,2;4,5;5,6;2,2;;;;;;;;;;;;;;;;;;;1;88;1,1;98,9;28;23;8;11;4;1;0;1;0;0;1;11;0;0;;;;;;;;;;;;31,8;26,1;9,1;12,5;4,5;1,1;0;1,1;0;0;1,1;12,5;0;0;;;;;;;;;;;;;;1;1;13.03.2016 18:47:29
1021320104000;Gieleroth;514;400;114;0;396;114;77;2;7;389;1,8;98,2;170;103;26;40;19;20;11;;;;;;;;;;;;;;;;;;;43,7;26,5;6,7;10,3;4,9;5,1;2,8;;;;;;;;;;;;;;;;;;;3;393;0,8;99,2;185;79;21;20;20;6;3;3;2;3;2;49;0;0;;;;;;;;;;;;47,1;20,1;5,3;5,1;5,1;1,5;0,8;0,8;0,5;0,8;0,5;12,5;0;0;;;;;;;;;;;;;;1;1;15.03.2016 07:08:28
1021320104600;Hasselbach;220;185;35;0;142;33;64,5;2;7;135;4,9;95,1;42;51;20;11;5;3;3;;;;;;;;;;;;;;;;;;;31,1;37,8;14,8;8,1;3,7;2,2;2,2;;;;;;;;;;;;;;;;;;;2;140;1,4;98,6;47;47;7;8;2;1;0;0;0;2;1;25;0;0;;;;;;;;;;;;33,6;33,6;5;5,7;1,4;0,7;0;0;0;1,4;0,7;17,9;0;0;;;;;;;;;;;;;;1;1;13.03.2016 19:19:20
1021320104700;Helmenzen;665;558;107;0;455;102;68,4;2;11;444;2,4;97,6;137;178;25;63;13;17;11;;;;;;;;;;;;;;;;;;;30,9;40,1;5,6;14,2;2,9;3,8;2,5;;;;;;;;;;;;;;;;;;;4;451;0,9;99,1;153;155;24;34;14;4;3;0;0;1;5;55;1;2;;;;;;;;;;;;33,9;34,4;5,3;7,5;3,1;0,9;0,7;0;0;0,2;1,1;12,2;0,2;0,4;;;;;;;;;;;;;;1;1;14.03.2016 10:42:08
1021320104800;Helmeroth;157;123;34;0;117;34;74,5;2;7;110;6;94;45;32;11;9;3;3;7;;;;;;;;;;;;;;;;;;;40,9;29,1;10;8,2;2,7;2,7;6,4;;;;;;;;;;;;;;;;;;;1;116;0,9;99,1;49;26;6;12;3;1;1;2;0;0;0;16;0;0;;;;;;;;;;;;42,2;22,4;5,2;10,3;2,6;0,9;0,9;1,7;0;0;0;13,8;0;0;;;;;;;;;;;;;;1;1;13.03.2016 18:45:47
1021320104900;Hemmelzen;171;146;25;0;121;24;70,8;2;7;114;5,8;94,2;49;30;10;13;4;5;3;;;;;;;;;;;;;;;;;;;43;26,3;8,8;11,4;3,5;4,4;2,6;;;;;;;;;;;;;;;;;;;0;121;0;100;49;29;8;7;3;1;3;1;1;0;0;18;1;0;;;;;;;;;;;;40,5;24;6,6;5,8;2,5;0,8;2,5;0,8;0,8;0;0;14,9;0,8;0;;;;;;;;;;;;;;1;1;13.03.2016 19:29:00
1021320105100;Heupelzen;205;170;35;0;156;35;76,1;2;4;152;2,6;97,4;52;60;5;12;6;14;3;;;;;;;;;;;;;;;;;;;34,2;39,5;3,3;7,9;3,9;9,2;2;;;;;;;;;;;;;;;;;;;0;156;0;100;55;55;1;11;1;5;0;0;2;0;0;26;0;0;;;;;;;;;;;;35,3;35,3;0,6;7,1;0,6;3,2;0;0;1,3;0;0;16,7;0;0;;;;;;;;;;;;;;1;1;13.03.2016 19:35:25
1021320105200;Hilgenroth;232;202;30;0;183;27;78,9;2;8;175;4,4;95,6;69;53;3;19;14;14;3;;;;;;;;;;;;;;;;;;;39,4;30,3;1,7;10,9;8;8;1,7;;;;;;;;;;;;;;;;;;;3;180;1,6;98,4;70;45;5;7;10;7;1;0;2;0;2;28;0;3;;;;;;;;;;;;38,9;25;2,8;3,9;5,6;3,9;0,6;0;1,1;0;1,1;15,6;0;1,7;;;;;;;;;;;;;;1;1;13.03.2016 19:37:07
1021320105300;Hirz-Maulsbach;243;218;25;0;170;20;70;2;1;169;0,6;99,4;55;74;12;10;3;12;3;;;;;;;;;;;;;;;;;;;32,5;43,8;7,1;5,9;1,8;7,1;1,8;;;;;;;;;;;;;;;;;;;0;170;0;100;56;65;11;10;1;4;1;1;0;1;0;20;0;0;;;;;;;;;;;;32,9;38,2;6,5;5,9;0,6;2,4;0,6;0,6;0;0,6;0;11,8;0;0;;;;;;;;;;;;;;1;1;13.03.2016 19:23:08
1021320105600;Idelberg;49;47;2;0;32;2;65,3;2;0;32;0;100;18;9;2;1;2;0;0;;;;;;;;;;;;;;;;;;;56,3;28,1;6,3;3,1;6,3;0;0;;;;;;;;;;;;;;;;;;;0;32;0;100;17;9;2;0;4;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;53,1;28,1;6,3;0;12,5;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;1;1;14.03.2016 10:42:29
1021320105700;Ingelbach;427;367;60;0;311;59;72,8;2;8;303;2,6;97,4;160;70;25;24;5;9;10;;;;;;;;;;;;;;;;;;;52,8;23,1;8,3;7,9;1,7;3;3,3;;;;;;;;;;;;;;;;;;;4;307;1,3;98,7;176;44;28;14;8;2;4;1;0;0;0;30;0;0;;;;;;;;;;;;57,3;14,3;9,1;4,6;2,6;0,7;1,3;0,3;0;0;0;9,8;0;0;;;;;;;;;;;;;;1;1;13.03.2016 19:17:28
1021320105800;Isert;109;90;19;0;84;19;77,1;2;3;81;3,6;96,4;31;25;8;5;2;5;5;;;;;;;;;;;;;;;;;;;38,3;30,9;9,9;6,2;2,5;6,2;6,2;;;;;;;;;;;;;;;;;;;0;84;0;100;31;21;3;5;1;1;2;0;0;0;0;20;0;0;;;;;;;;;;;;36,9;25;3,6;6;1,2;1,2;2,4;0;0;0;0;23,8;0;0;;;;;;;;;;;;;;1;1;13.03.2016 19:27:40
1021320106100;Kettenhausen;201;153;48;0;154;44;76,6;2;3;151;1,9;98,1;41;55;11;25;2;14;3;;;;;;;;;;;;;;;;;;;27,2;36,4;7,3;16,6;1,3;9,3;2;;;;;;;;;;;;;;;;;;;1;153;0,6;99,4;52;43;9;19;2;3;2;0;0;0;0;23;0;0;;;;;;;;;;;;34;28,1;5,9;12,4;1,3;2;1,3;0;0;0;0;15;0;0;;;;;;;;;;;;;;1;1;13.03.2016 18:54:13
1021320106200;Kircheib;426;385;41;0;267;39;62,7;2;4;263;1,5;98,5;87;93;9;30;12;21;11;;;;;;;;;;;;;;;;;;;33,1;35,4;3,4;11,4;4,6;8;4,2;;;;;;;;;;;;;;;;;;;3;264;1,1;98,9;85;79;11;23;8;4;8;1;0;2;3;39;0;1;;;;;;;;;;;;32,2;29,9;4,2;8,7;3;1,5;3;0,4;0;0,8;1,1;14,8;0;0,4;;;;;;;;;;;;;;1;1;13.03.2016 19:30:34
1021320106400;Kraam;138;108;30;0;106;28;76,8;2;1;105;0,9;99,1;30;42;7;14;7;4;1;;;;;;;;;;;;;;;;;;;28,6;40;6,7;13,3;6,7;3,8;1;;;;;;;;;;;;;;;;;;;1;105;0,9;99,1;32;26;12;15;6;2;1;0;0;0;1;10;0;0;;;;;;;;;;;;30,5;24,8;11,4;14,3;5,7;1,9;1;0;0;0;1;9,5;0;0;;;;;;;;;;;;;;1;1;13.03.2016 18:32:50
1021320106700;Mammelzen;804;680;124;0;469;120;58,3;2;18;451;3,8;96,2;181;142;14;45;27;29;13;;;;;;;;;;;;;;;;;;;40,1;31,5;3,1;10;6;6,4;2,9;;;;;;;;;;;;;;;;;;;5;464;1,1;98,9;195;116;16;15;18;3;3;1;0;2;5;86;0;4;;;;;;;;;;;;42;25;3,4;3,2;3,9;0,6;0,6;0,2;0;0,4;1,1;18,5;0;0,9;;;;;;;;;;;;;;1;1;13.03.2016 19:53:05
1021320106900;Mehren;380;307;73;0;220;62;57,9;2;8;212;3,6;96,4;66;78;23;20;11;11;3;;;;;;;;;;;;;;;;;;;31,1;36,8;10,8;9,4;5,2;5,2;1,4;;;;;;;;;;;;;;;;;;;2;218;0,9;99,1;74;61;19;16;5;4;1;1;0;0;2;34;1;0;;;;;;;;;;;;33,9;28;8,7;7,3;2,3;1,8;0,5;0,5;0;0;0,9;15,6;0,5;0;;;;;;;;;;;;;;1;1;13.03.2016 18:50:03
1021320107000;Michelbach (Westerwald);391;324;67;0;271;65;69,3;2;6;265;2,2;97,8;92;97;19;35;7;8;7;;;;;;;;;;;;;;;;;;;34,7;36,6;7,2;13,2;2,6;3;2,6;;;;;;;;;;;;;;;;;;;4;267;1,5;98,5;99;95;20;14;5;0;2;1;0;2;1;27;0;1;;;;;;;;;;;;37,1;35,6;7,5;5,2;1,9;0;0,7;0,4;0;0,7;0,4;10,1;0;0,4;;;;;;;;;;;;;;1;1;13.03.2016 18:58:30
1021320107400;Neitersen;567;452;115;0;384;112;67,7;2;6;378;1,6;98,4;158;114;31;33;17;16;9;;;;;;;;;;;;;;;;;;;41,8;30,2;8,2;8,7;4,5;4,2;2,4;;;;;;;;;;;;;;;;;;;1;383;0,3;99,7;158;103;25;29;10;5;1;1;0;1;0;50;0;0;;;;;;;;;;;;41,3;26,9;6,5;7,6;2,6;1,3;0,3;0,3;0;0,3;0;13,1;0;0;;;;;;;;;;;;;;1;1;13.03.2016 18:56:03
1021320108100;Obererbach (Westerwald);446;368;78;0;298;76;66,8;2;7;291;2,3;97,7;123;92;21;22;11;17;5;;;;;;;;;;;;;;;;;;;42,3;31,6;7,2;7,6;3,8;5,8;1,7;;;;;;;;;;;;;;;;;;;1;297;0,3;99,7;133;82;9;13;5;7;2;4;1;1;4;36;0;0;;;;;;;;;;;;44,8;27,6;3;4,4;1,7;2,4;0,7;1,3;0,3;0,3;1,3;12,1;0;0;;;;;;;;;;;;;;1;1;13.03.2016 19:06:16
